string,en,sv,ar
headerTitle,Your journey to master the Qur'an begins here,Din resa för att behärska koranen börjar här,هنا تبدأ رحلتك لإتقان القرآن
headerSubTitle,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
quranTitle,The holy Quran,Den heliga koranen,القران الكريم
courses,Courses,Kurser,الدورات
quran,The Quran,Koranen,القران الكريم
nav_home,Home,Hem,الصفحه الرئيسيه
nav_wordKnowladge,Word knowledge,Ordkunskap,معرفة كلمة
nav_materials,Materials,Material,المواد
nav_aboutus,About us,Om oss,عنا
arabicFontSize,Arabic font size,Arabiskt font storlke,حجم الخط العربي
translationFontSize,Translation font size,Översättnings font storlek,حجم خط الترجمة
tooltip,Tooltip,verktygstips,تلميح
searchPlaceHolder,Search for a Surah,Sök efter en Surah,ابحث عن سورة
